,,,,,,,,,109年11月 2317 鴻海             各日成交資訊
日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,
109/11/02,"17,820,319","1,388,494,460",77.50,78.30,77.40,78.30,+0.80,"8,075",
109/11/03,"14,624,015","1,146,787,065",78.50,78.80,78.10,78.30, 0.00,"7,545",
109/11/04,"18,927,508","1,490,884,001",78.40,79.40,78.00,78.80,+0.50,"7,641",
109/11/05,"14,675,062","1,157,728,567",79.00,79.30,78.50,79.00,+0.20,"6,177",
109/11/06,"21,927,838","1,745,003,872",79.60,79.90,79.30,79.70,+0.70,"9,256",
109/11/09,"42,301,888","3,424,501,240",80.70,81.50,80.50,81.20,+1.50,"19,937",
109/11/10,"21,869,925","1,766,382,105",81.10,81.20,80.30,80.80,-0.40,"10,248",
109/11/11,"36,850,179","2,992,317,172",80.80,81.70,80.40,81.60,+0.80,"17,181",
109/11/12,"44,996,299","3,672,675,394",81.70,82.00,80.80,81.90,+0.30,"19,911",
109/11/13,"32,250,189","2,628,738,658",81.90,82.00,80.90,81.40,-0.50,"14,397",
109/11/16,"50,715,538","4,182,976,762",82.00,82.90,81.90,82.60,+1.20,"22,122",
109/11/17,"45,390,693","3,760,327,206",83.10,83.30,82.30,83.00,+0.40,"17,332",
109/11/18,"30,992,749","2,576,431,712",82.90,83.40,82.70,83.20,+0.20,"14,929",
109/11/19,"23,992,520","1,985,723,356",82.70,83.20,82.50,82.90,-0.30,"11,054",
109/11/20,"24,856,126","2,050,460,680",83.30,83.30,82.10,82.50,-0.40,"11,943",
109/11/23,"24,645,027","2,041,909,040",82.90,83.20,82.50,82.90,+0.40,"10,383",
109/11/24,"22,997,794","1,893,349,073",83.10,83.10,82.00,82.00,-0.90,"11,782",
109/11/25,"23,351,912","1,915,145,608",82.40,82.50,81.50,82.00, 0.00,"10,804",
109/11/26,"35,654,143","2,955,779,864",82.60,83.20,82.50,83.00,+1.00,"15,087",
109/11/27,"21,516,682","1,778,145,042",83.00,83.00,82.50,82.60,-0.40,"10,239",
109/11/30,"66,105,032","5,444,498,467",82.70,83.00,82.00,82.30,-0.30,"11,699",
說明:,,,,,,,,,
符號說明:+/-/X表示漲/跌/不比價,,,,,,,,,
當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。,,,,,,,,,
ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。,,,,,,,,,
權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。,,,,,,,,,
