,,,,,,,,,109年12月 2317 鴻海             各日成交資訊
日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,
109/12/01,"24,824,339","2,050,440,234",82.50,82.90,82.20,82.90,+0.60,"9,164",
109/12/02,"38,583,640","3,190,762,355",83.00,83.30,82.40,82.70,-0.20,"15,581",
109/12/03,"30,688,528","2,519,994,773",82.30,82.40,81.90,82.00,-0.70,"14,542",
109/12/04,"48,068,126","3,987,392,806",83.00,83.40,82.60,82.90,+0.90,"20,329",
109/12/07,"163,867,512","14,119,652,736",83.30,88.10,83.10,87.90,+5.00,"80,798",
109/12/08,"118,755,890","10,495,182,078",88.40,89.70,87.30,87.60,-0.30,"56,530",
109/12/09,"67,952,932","6,033,649,403",88.50,89.30,88.20,89.00,+1.40,"31,573",
109/12/10,"54,580,931","4,795,519,790",88.40,88.70,87.10,87.70,-1.30,"27,323",
109/12/11,"61,349,293","5,351,066,332",88.50,88.50,85.80,87.60,-0.10,"29,628",
109/12/14,"47,987,980","4,241,965,989",88.30,89.00,87.70,87.70,+0.10,"21,135",
109/12/15,"38,956,460","3,390,831,919",88.30,88.30,86.50,87.10,-0.60,"18,357",
109/12/16,"47,026,342","4,130,677,034",88.00,88.20,87.40,88.20,+1.10,"21,515",
109/12/17,"28,097,957","2,470,825,265",88.30,88.40,87.60,87.80,-0.40,"12,277",
109/12/18,"27,787,804","2,439,199,919",88.10,88.20,87.50,87.70,-0.10,"11,920",
109/12/21,"28,905,010","2,538,797,919",88.10,88.50,86.90,88.00,+0.30,"14,714",
109/12/22,"94,049,036","8,374,170,934",88.00,90.50,87.50,87.70,-0.30,"44,931",
109/12/23,"56,278,242","5,000,495,202",88.50,89.40,88.30,88.80,+1.10,"25,699",
109/12/24,"41,263,965","3,691,307,949",89.50,89.90,89.00,89.60,+0.80,"18,937",
109/12/25,"114,607,503","10,497,953,149",90.90,92.20,90.80,91.80,+2.20,"61,188",
109/12/28,"67,626,965","6,240,713,115",92.40,93.00,91.80,91.80, 0.00,"34,315",
109/12/29,"46,148,101","4,192,521,279",91.80,91.80,90.40,90.40,-1.40,"26,781",
109/12/30,"40,526,518","3,687,922,978",91.00,91.60,90.10,91.60,+1.20,"20,750",
109/12/31,"32,420,293","2,974,403,637",91.50,92.00,91.10,92.00,+0.40,"16,438",
說明:,,,,,,,,,
符號說明:+/-/X表示漲/跌/不比價,,,,,,,,,
當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。,,,,,,,,,
ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。,,,,,,,,,
權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。,,,,,,,,,
