,,,,,,,,,112年07月 0050 元大台灣50       各日成交資訊
日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,
112/07/03,"6,979,683","910,555,077",129.60,130.70,129.60,130.70,+1.60,"9,688",
112/07/04,"5,919,797","774,846,909",130.75,131.15,130.55,131.00,+0.30,"6,440",
112/07/05,"5,405,909","706,996,255",131.00,131.20,130.40,130.80,-0.20,"10,839",
112/07/06,"18,056,472","2,319,934,035",129.70,129.70,127.70,127.90,-2.90,"35,216",
112/07/07,"8,691,413","1,108,433,002",127.55,128.30,127.10,127.70,-0.20,"15,852",
112/07/10,"8,506,247","1,087,197,872",128.10,128.50,127.00,127.45,-0.25,"15,866",
112/07/11,"4,784,843","616,545,942",128.00,129.20,128.00,129.20,+1.75,"7,165",
112/07/12,"3,615,026","467,234,931",129.30,129.45,128.85,129.45,+0.25,"5,255",
112/07/13,"16,226,020","2,133,901,327",131.30,131.90,130.85,130.90,+1.45,"11,990",
112/07/14,"15,492,527","2,045,651,027",131.45,132.50,131.45,132.25,+1.35,"12,488",
112/07/17,"15,718,027","2,074,554,911",132.00,132.20,131.75,132.00,-0.25,"14,370",
112/07/18,"11,349,805","1,476,866,383",131.00,131.00,129.70,129.85,X0.00,"13,808",
112/07/19,"14,711,894","1,904,179,858",130.15,130.50,128.75,128.75,-1.10,"13,734",
112/07/20,"4,065,413","526,047,896",129.05,129.70,129.00,129.35,+0.60,"6,617",
112/07/21,"14,040,621","1,783,482,811",127.40,127.40,126.50,127.20,-2.15,"26,081",
112/07/24,"10,275,826","1,306,214,864",127.00,127.65,126.60,127.25,+0.05,"13,810",
112/07/25,"7,215,119","928,837,067",127.70,129.20,127.70,128.85,+1.60,"9,939",
112/07/26,"4,653,101","599,322,518",129.10,129.20,128.35,128.50,-0.35,"7,505",
112/07/27,"4,193,242","542,308,226",129.15,129.50,129.00,129.50,+1.00,"5,407",
112/07/28,"2,941,994","380,885,090",129.40,129.90,129.00,129.50, 0.00,"5,786",
112/07/31,"7,751,452","1,003,262,971",130.30,130.65,128.25,128.80,-0.70,"11,911",
說明:,,,,,,,,,
符號說明:+/-/X表示漲/跌/不比價,,,,,,,,,
當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。,,,,,,,,,
ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。,,,,,,,,,
權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。,,,,,,,,,
